0,3961,3961,"(372) བར་ཆད་དྲུག་གི་རང་བཞིན་སྤང་བ་ནི། །ཐོས་ཉུང་གྲོང་ལ་སོགས་པར་འཇུག་པ་སྤང༌། ། སྲུང་སྡོམ་མི་ལྡན་གཞན་གྱི་བཀུར་སྟི་སྤང༌། །དབང་པོ་མ་བསྡམས་བུད་མེད་ལྟ་བ་སྤང༌། ། མཉམ་པར་མ་བཞག་དབང་པོའི་འཇུག་པ་སྤང༌། །ལུས་སེམས་རྩུབ་པས་མི་མཐུན་གནས་པ་སྤོང༌། །"
3961,9179,5218,"འཚོ་བ་མ་དག་ཚུལ་འཆོས་བཅོས་མ་སྤང༌། །དེ་དག་མ་སྤངས་བདུད་ཀྱིས་བསླུས་པར་འགྱུར། །"
9179,13782,4603,"ཡང་དམ་པའི་ཆོས་ལ་བར་ཆད་དྲུག་ཡོད། གང་རེད་ཟེར་ན།"
13782,18947,5165,"ཐོས་པ་ཉུང་བའི་གང་ཟག་གྲོང་པ་ལ་སོགས་པ་མི་མང་པོ་ཡོད་པའི་ནང་དུ་སྡོད་མི་ཉན།"
18947,23106,4159,"རི་ཁྲོད་ལ་བསྡད་དགོས། དྲན་ཤེས་བག་ཡོད་ཀྱིས་སྲུང་སྡོམ་དང་མི་ལྡན་ན་ནི་"
23106,25366,2260,"གཞན་ཡོན་བདག་གི་མཆོད་གནས་བྱེད་མི་ཉན་མ་གཏོགས།"
25366,30724,5358,"དེ་ག་བྱ་བྲལ་རྒན་པོ་གསོག་འཇོག་ལ་ལྷུང་འོང༌།"
30724,34985,4261,"དབང་པོ་སྒོ་ལྔ་པོ་མ་བསྡམས་པ་བུད་མེད་ཀྱི་ནང་དུ་སྡོད་པ་སྤང་དགོས་ཏེ།"
34985,37321,2336,"དེ་དང་ཁ་གཏུགས་ནས་འཁོར་བར་བྱིང་འགྲོ།"
37321,41551,4230,"མཉམ་པར་མ་གཞག་པ་དབང་པོ་ཕྱི་རོལ་ཡུལ་གྱི་སྟེང་ལ་སེམས་གཡེང་བ་སྤང༌།"
41551,45174,3623,"ལུས་དང་སེམས་ཐམས་ཅད་ཀུན་སྤྱོད་རྩུབ་པོ་དང་གྱོང་པོ་བྱེད་དུས།"
45174,50072,4898,"སུ་དང་མི་མཐུན་པ་མི་འཐད་པ་གཟེ་མ་ར་མགོ་ལྟ་བུ་མི་བྱེད་པའི་གནས་པ་སྤོང་དགོས།"
50072,53844,3772,"དེ་ནས་འཚོ་བ་མ་དག་པ་དཀོར་དང་ལོག་འཚོ་ལ་སོགས་པ་"
53844,57753,3909,"དེ་དག་ཐམས་ཅད་འཐོབ་པར་བྱ་བའི་ཕྱིར་དུ། ཆོས་པ་ཡིན་མདོག་དང༌།"
57753,60654,2901,"མངོན་ཤེས་མཁྱེན་མདོག་སྟེ་ཚུལ་འཆོས་བཅོས་མ་སྤངས་ཏེ་"
60654,62971,2317,"དེ་དག་མ་སྤངས་ན་བདུད་ཀྱིས་བསླུས་པ་ཡིན།"
62971,67126,4155,"(373) ངན་པའི་གྲོགས་དྲུག་སྤང་བར་གདམས་པ་ནི། །འཇིག་རྟེན་རྒྱང་ཕན་མུ་སྟེགས་ཅན་མི་འགྲོགས། །"
67126,71442,4316,"སོ་སོ་སྐྱེ་བོ་འདི་དོན་གཉེར་མི་འགྲོགས། །བརྩེ་མེད་རང་དོན་ཉན་ཐོས་རྣམས་མི་འགྲོགས། །"
71442,75187,3745,"གཞན་ཕན་བློ་བྲལ་རང་རྒྱལ་འདོད་མི་འགྲོགས། །ཟང་ཟིང་རྙེད་སྡུད་གཡེང་བར་འགྱུར་མི་འགྲོགས། །"
75187,79874,4687,"རྙེད་བཀུར་གྲགས་འདོད་འཁོར་མང་བསྟེན་མི་འགྲོགས། །ངན་པ་འགྲོགས་ན་དེ་བས་ཆེས་ངན་འགྱུར། །"
79874,84361,4487,"གསུངས་དུས། ངན་པའི་ཆོས་དྲུག་ཡོད་དེ་དེ་སྤོང་དགོས། གང་རེད་ཟེར་ན།"
84361,88594,4233,"འཇིག་རྟེན་རྒྱང་ཕན་པས་ཚེ་ཕྱི་མ་ལས་རྒྱུ་འབྲས་མེད་ཟེར་རྒྱུ་"
88594,90449,1855,"འདིའི་ལྟ་བ་དང་འགྲོགས་མི་ཉན་གསུངས།"
90449,94635,4186,"སོ་སོ་སྐྱེ་བོ་མཉམ་དུ་བསྡད་ན་ཚེ་འདིའི་ནོར་འབྱོར་པ་གསོག་ཐབས།"
94635,99840,5205,"ཐོབ་གོ་ས་སྒྲུབ་ཐབས། དགྲ་བོ་ཆམ་ལ་ཕབ་ཡ་ལ་སོགས་པ་དེ་ལྟ་བུ་བྱེད་རྒྱུ་རེད་དུས།"
99840,101701,1861,"དེ་དང་ལྷན་ཅིག་ཏུ་འགྲོགས་མི་ཉན།"
101701,106811,5110,"རང་ཉིད་གཅིག་པུའི་དོན་ལ་སྙིང་རྗེ་མེད་པའི་ཉན་ཐོས་ཀྱི་སྤྱོད་པ་དེའང་བྱེད་མི་ཉན།"
106811,111822,5011,"གཞན་ལ་ཕན་འདོད་ཀྱི་བློ་དང་བྲལ་བ་རང་རྒྱལ་གྱི་ལྟ་བ་འདིའང་མི་ཉན།"
111822,117385,5563,"ཟང་ཟིང་གི་རྙེད་པ་མང་པོ་སྡུད་དེ་རྣམ་གཡེང་མང་པོ་འཕེལ་འོང་རྒྱུ་རེད་དེ་དང་མི་འགྲོགས།"
117385,121331,3946,"རང་ལ་རྙེད་པ་བཀུར་སྟི་གྲགས་པ་འདོད་པའི་ཕྱིར་འཁོར་མང་པོ་བསྟེན།"
121331,124760,3429,"དེ་ངོ་སྲུང་ཡག་ལེ༌བྱས་ན་རང་ཉིད་ཆོས་བརྒྱད་ཀྱི་གཟེབ་ཏུ་ལྷུང་ཡོད།"
124760,129646,4886,"ངན་པ་འགྲོགས་ན་དེ་བས་ཆེས་ངན་པ་རུ་འགྱུར་བས་དེ་དག་སྡིག་པའི་གྲོགས་པོ་ཡིན།"
129646,134625,4979,"(374) གཅེས་པའི་ཡོན་ཏན་རྣམ་དྲུག་བསྟན་པ་ནི། །བདག་མེད་རྟོགས་ལ་སེམས་ཅན་སྙིང་རྗེ་གཅེས། །"
134625,138461,3836,"སྟོང་ཉིད་མོས་ལ་ལས་འབྲས་ཡིད་ཆེས་གཅེས། །ཞི་བར་གནས་ལ་སྲིད་པར་མི་གནས་གཅེས། །"
138461,142067,3606,"སྦྱིན་པ་གཏོང་ལ་རྣམ་སྨིན་མི་རེ་གཅེས། །ཚུལ་ཁྲིམས་སྲུང་ལ་རློམ་སེམས་སྤང་བ་གཅེས། །"
142067,145814,3747,"དགོན་པར་གནས་ལ་ཡོ་བྱད་སྐྱུང་བ་གཅེས། །འདི་དྲུག་ལྡན་ན་དམ་ཆོས་ཚུལ་བཞིན་འགྲུབ། །"
145814,148545,2731,"གསུངས་དུས། ད་རང་ལ་གཅེས་པའི་ཡོན་ཏན་རྣམ་པ་དྲུག་ཡོད།"
148545,153864,5319,"གང་རེད་ཟེར་ནས་བཟུང་སྟེ། བདག་མེད་རྟོགས་པའི་ཤེས་རབ་ཅིག་རྒྱུད་ལ་སྐྱེ་ཨེ་འོང་བསམ་ན་"
153864,155846,1982,"སེམས་ཅན་ལ་སྙིང་རྗེ་འདི་བསྒོམ་པ།"
